"dataset_id";"observacao_id";"camada_id";"amostra_id";"camada_nome";"profund_sup";"profund_inf";"terrafina";"argila";"silte";"areia";"carbono";"ctc";"ph";"dsi";"ce"
"ctb0001";"CC-F6-2012";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-F6-2012";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-F6-2013";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-F6-2013";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-F7-2012";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-F7-2012";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-F7-2013";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-F7-2013";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-G1-2012";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-G1-2012";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-G1-2013";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-G1-2013";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-G2-2012";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-G2-2012";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-G2-2013";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-G2-2013";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-G3-2012";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-G3-2012";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-G3-2013";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-G3-2013";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-G4-2012";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-G4-2012";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-G4-2013";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-G4-2013";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-G5-2012";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-G5-2012";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-G5-2013";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-G5-2013";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-G6-2012";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-G6-2012";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-G6-2013";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-G6-2013";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-G7-2012";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-G7-2012";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-G7-2013";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CC-G7-2013";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CM-A1-2012";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CM-A1-2012";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CM-A1-2013";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CM-A1-2013";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CM-A2-2012";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CM-A2-2012";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CM-A2-2013";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CM-A2-2013";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CM-A3-2012";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CM-A3-2012";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CM-A3-2013";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CM-A3-2013";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CM-A4-2012";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CM-A4-2012";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CM-A4-2013";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CM-A4-2013";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CM-A5-2012";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CM-A5-2012";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CM-A5-2013";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CM-A5-2013";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CM-A6-2012";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CM-A6-2012";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CM-A6-2013";"1";"1";NA;0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0001";"CM-A6-2013";"2";"1";NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
